id,indicator_code,spatial_dim_type,spatial_dim,time_dim_type,parent_location_code,parent_location,time_dim,numeric_value,low,high,date,time_dimension_value,time_dimension_begin,time_dimension_end
3286842,MDG_0000000026,COUNTRY,LVA,YEAR,EUR,Europe,2023,18.71678221,13.01821645,28.12376845,2025-04-10 15:44:11.957000+02:00,2023,2023-01-01 00:00:00+01:00,2023-12-31 00:00:00+01:00
3287554,MDG_0000000026,COUNTRY,BRN,YEAR,WPR,Western Pacific,1997,52.0172667,37.66901973,71.47910969,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
3287948,MDG_0000000026,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,2001,18.29711471,15.38765973,22.12210501,2025-04-10 15:44:11.957000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3289226,MDG_0000000026,COUNTRY,COG,YEAR,AFR,Africa,1991,514.3886599,347.6457356,757.5465786,2025-04-10 15:44:11.957000+02:00,1991,1991-01-01 00:00:00+01:00,1991-12-31 00:00:00+01:00
3289295,MDG_0000000026,COUNTRY,FSM,YEAR,WPR,Western Pacific,2010,184.3065204,86.6597914,373.7034947,2025-04-10 15:44:11.957000+02:00,2010,2010-01-01 00:00:00+01:00,2010-12-31 00:00:00+01:00
3291378,MDG_0000000026,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,2004,34.30775215,28.20822822,41.57331461,2025-04-10 15:44:11.957000+02:00,2004,2004-01-01 00:00:00+01:00,2004-12-31 00:00:00+01:00
3291997,MDG_0000000026,COUNTRY,CHE,YEAR,EUR,Europe,1997,10.3008027,8.142788378,12.73745451,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
3292170,MDG_0000000026,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,2001,59.5662196,47.81850037,74.14807195,2025-04-10 15:44:11.957000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3292988,MDG_0000000026,COUNTRY,LAO,YEAR,WPR,Western Pacific,1986,962.9547158,651.347884,1377.780318,2025-04-10 15:44:11.957000+02:00,1986,1986-01-01 00:00:00+01:00,1986-12-31 00:00:00+01:00
3296731,MDG_0000000026,COUNTRY,KOR,YEAR,WPR,Western Pacific,2014,6.589547019,6.144819526,7.073157876,2025-04-07 06:46:44.380000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3298266,MDG_0000000026,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,1985,99.97745223,62.19744689,135.3525384,2025-04-10 15:44:11.957000+02:00,1985,1985-01-01 00:00:00+01:00,1985-12-31 00:00:00+01:00
3298491,MDG_0000000026,COUNTRY,ARM,YEAR,EUR,Europe,2020,43.30131746,27.29143052,73.54689948,2025-04-10 15:44:11.957000+02:00,2020,2020-01-01 00:00:00+01:00,2020-12-31 00:00:00+01:00
3298657,MDG_0000000026,COUNTRY,LSO,YEAR,AFR,Africa,2011,1209.529497,911.4757769,1585.385404,2025-04-10 15:44:11.957000+02:00,2011,2011-01-01 00:00:00+01:00,2011-12-31 00:00:00+01:00
3298658,MDG_0000000026,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,2023,65.99087847,40.81964345,115.9012701,2025-04-10 15:44:11.957000+02:00,2023,2023-01-01 00:00:00+01:00,2023-12-31 00:00:00+01:00
3299189,MDG_0000000026,COUNTRY,NRU,YEAR,WPR,Western Pacific,1988,201.6393923,122.7518578,336.1357956,2025-04-10 15:44:11.957000+02:00,1988,1988-01-01 00:00:00+01:00,1988-12-31 00:00:00+01:00
3299688,MDG_0000000026,COUNTRY,DEU,YEAR,EUR,Europe,2001,6.315576622,5.239220236,7.537178302,2025-04-07 06:46:44.380000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3300485,MDG_0000000026,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,2007,284.9049084,158.2770378,534.6265702,2025-04-10 15:44:11.957000+02:00,2007,2007-01-01 00:00:00+01:00,2007-12-31 00:00:00+01:00
3301591,MDG_0000000026,COUNTRY,BRB,YEAR,AMR,Americas,1989,57.1527613,43.07054103,76.03303255,2025-04-10 15:44:11.957000+02:00,1989,1989-01-01 00:00:00+01:00,1989-12-31 00:00:00+01:00
3302034,MDG_0000000026,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,1997,164.9268019,117.8968136,226.1345828,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
